"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1NJSL0002","WOODSTOWN 0.6 NW, NJ US","39.656066","-75.333833","14.3","2023",,,,,,,,,,
"US1NJSL0002","WOODSTOWN 0.6 NW, NJ US","39.656066","-75.333833","14.3","2024",,,,,,,,,,
"US1NJSL0002","WOODSTOWN 0.6 NW, NJ US","39.656066","-75.333833","14.3","2025",,,,,,,,,,
"US1NJHN0018","CLINTON TWP 3.9 N, NJ US","40.687173","-74.857478","186.8","2024",,,,,,,,,,
"US1NJMC0049","PENNINGTON 1.7 SE, NJ US","40.3083","-74.7693","64.9","2023",,,,,,,,,,
"US1NJMC0049","PENNINGTON 1.7 SE, NJ US","40.3083","-74.7693","64.9","2024",,,,,,,,,,
"USC00283181","FREEHOLD MARLBORO, NJ US","40.31358","-74.25106","59.1","2023","6","7,0204, ","95","7,0908, ","56.1","7","65.8","7","46.3","7"
"USC00283181","FREEHOLD MARLBORO, NJ US","40.31358","-74.25106","59.1","2024","6","7,1223, ","97","7,0802,+","55.4","7","64.7","7","46.1","7"
"USC00283181","FREEHOLD MARLBORO, NJ US","40.31358","-74.25106","59.1","2025","3","7,0122, ","99","7,0625, ","53.7","7","62.5","7","44.9","7"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.68275","-74.16927","1.9","2023","5","W,0204, ","97","W,0906, ","58.7","W","67.2","W","50.2","W"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.68275","-74.16927","1.9","2024","11","W,1223, ","100","W,0801,+","58.7","W","67.1","W","50.3","W"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.68275","-74.16927","1.9","2025","7","D,0121, ","103","D,0624, ","56.6","D","65.1","D","48.2","D"
"USC00286055","NEW BRUNSWICK 3 SE, NJ US","40.47282","-74.42259","33.8","2023","6","7,0204, ","96","7,0908, ","55.8","7","65.9","7","45.7","7"
"USC00286055","NEW BRUNSWICK 3 SE, NJ US","40.47282","-74.42259","33.8","2024","7","7,1223, ","98","7,0802,+","56.2","7","66.4","7","46.1","7"
"USC00286055","NEW BRUNSWICK 3 SE, NJ US","40.47282","-74.42259","33.8","2025","3","7,0122, ","100","7,0625, ","54.4","7","64.2","7","44.6","7"
