"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMNT","EMXT","TAVG","TMAX","TMIN"
"US1NJSL0002","WOODSTOWN 0.6 NW, NJ US","39.656066","-75.333833","14.3","2021",,,,,
"US1NJSL0002","WOODSTOWN 0.6 NW, NJ US","39.656066","-75.333833","14.3","2022",,,,,
"US1NJSL0002","WOODSTOWN 0.6 NW, NJ US","39.656066","-75.333833","14.3","2023",,,,,
"US1NJHN0018","CLINTON TWP 3.9 N, NJ US","40.687173","-74.857478","186.8","2022",,,,,
"US1NJMC0049","PENNINGTON 1.7 SE, NJ US","40.3083","-74.7693","64.9","2021",,,,,
"US1NJMC0049","PENNINGTON 1.7 SE, NJ US","40.3083","-74.7693","64.9","2022",,,,,
"US1NJMC0049","PENNINGTON 1.7 SE, NJ US","40.3083","-74.7693","64.9","2023",,,,,
"USC00283181","FREEHOLD MARLBORO, NJ US","40.31358","-74.25106","59.1","2021","12","99","56.0","66.3","45.7"
"USC00283181","FREEHOLD MARLBORO, NJ US","40.31358","-74.25106","59.1","2022","-1",,,,"44.7"
"USC00283181","FREEHOLD MARLBORO, NJ US","40.31358","-74.25106","59.1","2023","6","95","56.1","65.8","46.3"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.68275","-74.16927","1.9","2021","16","103","58.0","66.4","49.5"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.68275","-74.16927","1.9","2022","6","102","56.9","65.7","48.0"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.68275","-74.16927","1.9","2023","5","97","58.7","67.2","50.2"
"US1NJMC0044","PRINCETON 2.3 E, NJ US","40.3634","-74.6281","24.1","2022",,,,,
"USC00286055","NEW BRUNSWICK 3 SE, NJ US","40.47282","-74.42259","33.8","2021","13","98","55.5","65.1","45.9"
"USC00286055","NEW BRUNSWICK 3 SE, NJ US","40.47282","-74.42259","33.8","2022","6","100","54.9","65.2","44.6"
"USC00286055","NEW BRUNSWICK 3 SE, NJ US","40.47282","-74.42259","33.8","2023","6","96","55.8","65.9","45.7"
"US1NJHN0011","READINGTON TWP 1.8 ENE, NJ US","40.594","-74.749","64.0","2023",,,,,
"USC00285243","MARGATE, NJ US","39.33768","-74.50366","4.9","2021","21","94","58.6","65.6","51.5"
"USC00285243","MARGATE, NJ US","39.33768","-74.50366","4.9","2022","8","93","56.8","64.0","49.5"
"USC00285243","MARGATE, NJ US","39.33768","-74.50366","4.9","2023","13","95","57.3","65.5","49.1"
"US1NJBG0064","WOOD RIDGE 0.2 N, NJ US","40.852624","-74.087451","52.1","2023",,,,,
"US1NJBT0080","MANSFIELD TWP 1.9 SW, NJ US","40.068133","-74.743809","28.7","2021",,,,,
"US1NJBT0080","MANSFIELD TWP 1.9 SW, NJ US","40.068133","-74.743809","28.7","2022",,,,,
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","40.87645","-74.28284","52.0","2021","10","100","56.6","65.8","47.4"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","40.87645","-74.28284","52.0","2022","6","98","55.3","65.2","45.4"
"USW00054743","CALDWELL ESSEX CO AIRPORT, NJ US","40.87645","-74.28284","52.0","2023","3","96","56.1","65.7","46.5"
"US1NJOC0056","BERKELEY TWP 2.7 SSE, NJ US","39.884693","-74.174119","13.7","2021",,,,,
"US1NJOC0056","BERKELEY TWP 2.7 SSE, NJ US","39.884693","-74.174119","13.7","2022",,,,,
"US1NJOC0056","BERKELEY TWP 2.7 SSE, NJ US","39.884693","-74.174119","13.7","2023",,,,,
"US1NJGL0006","FRANKLIN TWP 2.7 W, NJ US","39.593611","-75.069191","27.7","2021",,,,,
"US1NJGL0006","FRANKLIN TWP 2.7 W, NJ US","39.593611","-75.069191","27.7","2022",,,,,
"US1NJGL0006","FRANKLIN TWP 2.7 W, NJ US","39.593611","-75.069191","27.7","2023",,,,,
